"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01001","5","10","71","0","2015","A","",784,8092,278489156,70205579,1330487,662,34414,"",0.96,0.90,0.88,1.02,1.01,0.98,0.98,"",24,3.2,100,1.3,10821913,4.0,3435538,5.1,-9612,-0.7,18,2.8,922,2.8
"01003","0","10","70","0","2015","A","",5596,67585,2289992521,541928241,10293212,652,33883,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",195,3.6,2561,3.9,136017072,6.3,28245639,5.5,-507101,-4.7,15,2.4,757,2.3
"01003","1","10","71","0","2015","A","",33,331,19390130,0,0,1128,58669,"",0.92,0.25,0.29,0.00,0.00,1.18,1.18,"",0,0.0,6,1.8,1234469,6.8,0,0.0,0,0.0,54,5.0,2820,5.0
"01003","2","10","71","0","2015","A","",34,1160,42736091,0,0,708,36834,"",0.84,0.52,0.54,0.00,0.00,1.03,1.03,"",-2,-5.6,46,4.1,1947239,4.8,0,0.0,0,0.0,4,0.6,225,0.6
"01003","3","10","71","0","2015","A","",83,7532,297555701,4023003,36996,760,39504,"",0.84,1.12,1.46,0.53,0.66,1.30,1.30,"",-4,-4.6,-276,-3.5,-8594995,-2.8,-3806542,-48.6,-37080,-50.1,6,0.8,295,0.8
"01003","5","10","71","0","2015","A","",5446,58562,1930310599,537905238,10256216,634,32962,"",1.00,1.02,1.00,1.01,1.00,0.97,0.97,"",200,3.8,2785,5.0,141430359,7.9,32052181,6.3,-470021,-4.4,17,2.8,890,2.8
"01005","0","10","70","0","2015","A","",561,8202,287488204,61204208,1369771,674,35053,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-1.2,36,0.4,9802176,3.5,229026,0.4,-18797,-1.4,20,3.1,1046,3.1
"01005","1","10","71","0","2015","A","",9,56,2916261,0,0,1006,52310,"",2.51,0.35,0.35,0.00,0.00,1.01,1.01,"",0,0.0,3,5.7,75294,2.7,0,0.0,0,0.0,-26,-2.5,-1378,-2.6
"01005","2","10","71","0","2015","A","",19,641,25882545,0,0,776,40368,"",4.67,2.39,2.61,0.00,0.00,1.09,1.09,"",0,0.0,-16,-2.4,-273530,-1.0,0,0.0,0,0.0,10,1.3,536,1.3
"01005","3","10","71","0","2015","A","",34,952,30944523,751538,15912,625,32499,"",3.42,1.17,1.21,0.88,2.12,1.03,1.03,"",0,0.0,-4,-0.4,-160101,-0.5,-9282,-1.2,3467,27.9,-1,-0.2,-54,-0.2
"01005","5","10","71","0","2015","A","",499,6553,227744875,60452670,1353859,668,34757,"",0.92,0.94,0.94,1.01,0.99,0.99,0.99,"",-7,-1.4,52,0.8,10160513,4.7,238308,0.4,-22264,-1.6,24,3.7,1285,3.8
"01007","0","10","70","0","2015","A","",338,4075,153672464,27016540,605434,725,37715,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-1.5,-165,-3.9,-4520091,-2.9,-1629572,-5.7,-117644,-16.3,8,1.1,409,1.1
"01007","1","10","71","0","2015","A","",10,76,4792992,0,0,1215,63204,"",4.63,0.94,1.07,0.00,0.00,1.14,1.14,"",0,0.0,-4,-5.0,56497,1.2,0,0.0,0,0.0,69,6.0,3625,6.1
"01007","2","10","71","0","2015","A","",11,240,10218099,0,0,820,42635,"",4.49,1.80,1.92,0.00,0.00,1.07,1.07,"",1,10.0,3,1.3,93294,0.9,0,0.0,0,0.0,0,0.0,-26,-0.1
"01007","3","10","71","0","2015","A","",31,944,30465017,486146,4326,620,32264,"",5.18,2.33,2.22,1.29,1.31,0.95,0.95,"",0,0.0,12,1.3,1052277,3.6,14778,3.1,129,3.1,13,2.1,691,2.2
"01007","5","10","71","0","2015","A","",286,2815,108196356,26530394,601108,739,38438,"",0.87,0.81,0.83,1.00,1.00,1.02,1.02,"",-6,-2.1,-177,-5.9,-5722159,-5.0,-1644350,-5.8,-117773,-16.4,7,1.0,364,1.0
"01009","0","10","70","0","2015","A","",735,8066,268107138,53964636,873463,639,33240,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",20,2.8,106,1.3,6924067,2.7,1068488,2.0,-211499,-19.5,8,1.3,428,1.3
"01009","1","10","71","0","2015","A","",10,88,4787981,0,0,1041,54152,"",2.13,0.55,0.61,0.00,0.00,1.11,1.11,"",-1,-9.1,-4,-4.3,12012,0.3,0,0.0,0,0.0,42,4.2,2192,4.2
"01009","2","10","71","0","2015","A","",10,164,5932563,0,0,695,36119,"",1.88,0.62,0.64,0.00,0.00,1.03,1.03,"",1,11.1,14,9.3,340058,6.1,0,0.0,0,0.0,-21,-2.9,-1102,-3.0
"01009","3","10","71","0","2015","A","",44,1651,58242492,883707,12227,678,35281,"",3.38,2.06,2.43,1.17,2.56,1.18,1.18,"",1,2.3,12,0.7,180810,0.3,48333,5.8,-2865,-19.0,-3,-0.4,-140,-0.4
"01009","5","10","71","0","2015","A","",671,6162,199144102,53080929,861236,621,32317,"",0.94,0.90,0.88,1.00,0.99,0.97,0.97,"",19,2.9,83,1.4,6391187,3.3,1020155,2.0,-208634,-19.5,11,1.8,608,1.9
"01011","0","10","70","0","2015","A","",145,2905,95301236,20623008,509278,631,32801,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.7,-27,-0.9,169033,0.2,-180786,-0.9,-40160,-7.3,7,1.1,351,1.1
"01011","1","10","71","0","2015","A","",5,36,1822199,0,0,973,50617,"",5.40,0.63,0.66,0.00,0.00,1.05,1.05,"",1,25.0,2,5.9,64863,3.7,0,0.0,0,0.0,-11,-1.1,-568,-1.1
"01011","2","10","71","0","2015","A","",9,254,10796015,0,0,818,42518,"",8.57,2.67,3.28,0.00,0.00,1.23,1.23,"",0,0.0,3,1.2,-53453,-0.5,0,0.0,0,0.0,-13,-1.6,-678,-1.6
"01011","3","10","71","0","2015","A","",14,423,12423574,0,0,565,29382,"",5.45,1.47,1.46,0.00,0.00,1.00,1.00,"",0,0.0,-13,-3.0,-216546,-1.7,0,0.0,0,0.0,7,1.3,358,1.2
"01011","5","10","71","0","2015","A","",117,2193,70259448,20623008,509278,616,32043,"",0.83,0.89,0.87,1.02,1.01,0.98,0.98,"",-2,-1.7,-18,-0.8,374169,0.5,-180786,-0.9,-40160,-7.3,8,1.3,430,1.4
"01013","0","10","70","0","2015","A","",476,6841,223541205,55172395,1372323,628,32677,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,1.7,23,0.3,7475533,3.5,-403847,-0.7,-208581,-13.2,19,3.1,988,3.1
"01013","1","10","71","0","2015","A","",5,40,1885993,0,0,914,47546,"",1.65,0.30,0.29,0.00,0.00,0.99,0.99,"",0,0.0,-1,-2.4,99434,5.6,0,0.0,0,0.0,67,7.9,3524,8.0
"01013","2","10","71","0","2015","A","",11,100,4222863,0,0,809,42053,"",3.19,0.45,0.55,0.00,0.00,1.22,1.22,"",-1,-8.3,1,1.0,78408,1.9,0,0.0,0,0.0,1,0.1,13,0.0
"01013","3","10","71","0","2015","A","",24,796,27467707,191888,4139,664,34504,"",2.85,1.17,1.38,0.25,0.55,1.18,1.18,"",1,4.3,0,0.0,303115,1.1,28588,17.5,771,22.9,8,1.2,395,1.2
"01013","5","10","71","0","2015","A","",435,5905,189964642,54980507,1368184,619,32172,"",0.94,1.02,1.00,1.02,1.00,0.99,0.99,"",7,1.6,22,0.4,6994576,3.8,-432435,-0.8,-209352,-13.3,21,3.5,1069,3.4
"01015","0","10","70","0","2015","A","",2472,43628,1605265157,286501758,5817667,708,36795,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,0.5,-91,-0.2,-13624632,-0.8,-4161948,-1.4,-1106981,-16.0,-4,-0.6,-234,-0.6
"01015","1","10","71","0","2015","A","",42,3713,230344605,0,0,1193,62039,"",2.66,4.31,4.94,0.00,0.00,1.15,1.15,"",2,5.0,-180,-4.6,-7906552,-3.3,0,0.0,0,0.0,16,1.4,834,1.4
"01015","2","10","71","0","2015","A","",27,1694,73577134,0,0,835,43438,"",1.51,1.19,1.33,0.00,0.00,1.12,1.12,"",-1,-3.6,-15,-0.9,-2279706,-3.0,0,0.0,0,0.0,-19,-2.2,-949,-2.1
"01015","3","10","71","0","2015","A","",70,6258,237522308,1217492,14360,730,37958,"",1.60,1.44,1.66,0.30,0.45,1.15,1.15,"",1,1.4,131,2.1,14372988,6.4,-21596,-1.7,553,4.0,30,4.3,1539,4.2
"01015","5","10","71","0","2015","A","",2333,31963,1063821110,285284266,5803307,640,33283,"",0.97,0.86,0.78,1.02,1.00,0.90,0.91,"",9,0.4,-27,-0.1,-17811362,-1.6,-4140352,-1.4,-1107534,-16.0,-10,-1.5,-528,-1.6
"01017","0","10","70","0","2015","A","",590,8042,278921328,57371927,1161702,667,34684,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13,2.3,-136,-1.7,7391272,2.7,932012,1.7,-24380,-2.1,28,4.4,1480,4.5
"01017","1","10","71","0","2015","A","",5,50,2529466,0,0,974,50674,"",1.33,0.31,0.31,0.00,0.00,0.99,0.99,"",-1,-16.7,1,2.0,78222,3.2,0,0.0,0,0.0,15,1.6,818,1.6
"01017","2","10","71","0","2015","A","",14,145,5049932,0,0,672,34927,"",3.27,0.55,0.52,0.00,0.00,0.95,0.95,"",1,7.7,8,5.8,298729,6.3,0,0.0,0,0.0,4,0.6,183,0.5
"01017","3","10","71","0","2015","A","",60,1656,58404480,406766,6097,678,35261,"",5.74,2.07,2.35,0.51,0.96,1.13,1.13,"",0,0.0,-35,-2.1,836181,1.5,-7145,-1.7,1219,25.0,23,3.5,1222,3.6
"01017","5","10","71","0","2015","A","",511,6191,212937450,56965161,1155605,661,34395,"",0.89,0.91,0.90,1.01,1.00,0.99,0.99,"",12,2.4,-109,-1.7,6178140,3.0,939157,1.7,-25599,-2.2,30,4.8,1578,4.8
"01019","0","10","70","0","2015","A","",412,5057,167118790,36559571,979879,635,33045,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.5,-73,-1.4,2847287,1.7,1396388,4.0,-23041,-2.3,19,3.1,1020,3.2
"01019","1","10","71","0","2015","A","",8,48,2348888,0,0,938,48766,"",3.04,0.48,0.48,0.00,0.00,1.00,1.00,"",0,0.0,1,2.1,270849,13.0,0,0.0,0,0.0,89,10.5,4631,10.5
"01019","2","10","71","0","2015","A","",11,95,3638824,0,0,741,38506,"",3.68,0.57,0.63,0.00,0.00,1.11,1.10,"",1,10.0,1,1.1,-58935,-1.6,0,0.0,0,0.0,-16,-2.1,-867,-2.2
"01019","3","10","71","0","2015","A","",23,1125,37159052,464578,8974,635,33030,"",3.15,2.24,2.49,0.91,1.67,1.11,1.11,"",-1,-4.2,-33,-2.8,139331,0.4,-17938,-3.7,109,1.2,20,3.3,1066,3.3
"01019","5","10","71","0","2015","A","",370,3790,123972026,36094993,970905,629,32714,"",0.93,0.88,0.88,1.01,1.00,0.99,0.99,"",2,0.5,-40,-1.0,2496042,2.1,1414326,4.1,-23150,-2.3,19,3.1,1000,3.2
"01021","0","10","70","0","2015","A","",757,9250,317814477,70058024,1522701,661,34359,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",21,2.9,43,0.5,13330824,4.4,717074,1.0,-252351,-14.2,25,3.9,1288,3.9
"01021","1","10","71","0","2015","A","",7,61,2900833,0,0,920,47816,"",1.45,0.33,0.31,0.00,0.00,0.95,0.95,"",0,0.0,-3,-4.7,74993,2.7,0,0.0,0,0.0,72,8.5,3720,8.4
"01021","2","10","71","0","2015","A","",14,243,10257268,0,0,813,42254,"",2.55,0.80,0.93,0.00,0.00,1.16,1.17,"",0,0.0,4,1.7,272344,2.7,0,0.0,0,0.0,9,1.1,447,1.1
"01021","3","10","71","0","2015","A","",33,1482,48770637,2041694,21010,633,32911,"",2.46,1.61,1.72,2.08,2.52,1.07,1.07,"",1,3.1,0,0.0,-9849,0.0,-41487,-2.0,382,1.9,0,0.0,5,0.0
"01021","5","10","71","0","2015","A","",703,7465,255885739,68016330,1501691,659,34280,"",0.96,0.95,0.95,0.99,0.99,1.00,1.00,"",21,3.1,43,0.6,12993336,5.3,758561,1.1,-252733,-14.4,30,4.8,1553,4.7
"01023","0","10","70","0","2015","A","",284,3363,158825748,25563087,474045,908,47226,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-69,-2.0,-4585425,-2.8,-635227,-2.4,-75565,-13.7,-8,-0.9,-388,-0.8
"01023","1","10","71","0","2015","A","",7,25,924180,0,0,699,36361,"",3.86,0.38,0.20,0.00,0.00,0.52,0.52,"",-1,-12.5,-3,-10.7,-20572,-2.2,0,0.0,0,0.0,60,9.4,3115,9.4
"01023","2","10","71","0","2015","A","",11,70,2291978,0,0,630,32782,"",5.35,0.64,0.42,0.00,0.00,0.66,0.66,"",1,10.0,5,7.7,66722,3.0,0,0.0,0,0.0,-25,-3.8,-1278,-3.8
"01023","3","10","71","0","2015","A","",23,388,12382389,260149,2612,613,31879,"",4.57,1.16,0.87,0.73,1.01,0.75,0.75,"",0,0.0,-3,-0.8,154518,1.3,-9463,-3.5,-380,-12.7,12,2.0,639,2.0
"01023","5","10","71","0","2015","A","",242,2879,143227201,25302938,471433,957,49743,"",0.88,1.01,1.06,1.01,1.00,1.06,1.05,"",-1,-0.4,-68,-2.3,-4786093,-3.2,-625764,-2.4,-75185,-13.8,-9,-0.9,-485,-1.0
"01025","0","10","70","0","2015","A","",659,8147,308439012,59159643,1052722,728,37858,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-17,-2.5,-14,-0.2,-2492948,-0.8,1271174,2.2,-26093,-2.4,-5,-0.7,-244,-0.6
"01025","1","10","71","0","2015","A","",14,80,4456107,0,0,1077,55993,"",3.33,0.50,0.50,0.00,0.00,1.01,1.01,"",1,7.7,1,1.3,154078,3.6,0,0.0,0,0.0,35,3.4,1823,3.4
"01025","2","10","71","0","2015","A","",18,357,15621908,0,0,842,43779,"",3.77,1.34,1.47,0.00,0.00,1.10,1.10,"",-3,-14.3,11,3.2,687910,4.6,0,0.0,0,0.0,13,1.6,669,1.6
"01025","3","10","71","0","2015","A","",36,1319,46832270,1365730,17210,683,35495,"",3.08,1.63,1.70,1.65,2.99,1.04,1.04,"",0,0.0,-31,-2.3,-1090449,-2.3,-14676,-1.1,3647,26.9,0,0.0,-12,0.0
"01025","5","10","71","0","2015","A","",591,6391,241528727,57793913,1035512,727,37790,"",0.93,0.92,0.92,1.00,0.99,1.00,1.00,"",-16,-2.6,6,0.1,-2244487,-0.9,1285850,2.3,-29740,-2.8,-7,-1.0,-389,-1.0
"01027","0","10","70","0","2015","A","",210,3841,122504822,27897576,575477,613,31895,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.9,105,2.8,8495145,7.5,1494794,5.7,-67464,-10.5,26,4.4,1376,4.5
"01027","1","10","71","0","2015","A","",6,51,2622053,0,0,994,51666,"",4.48,0.67,0.74,0.00,0.00,1.10,1.10,"",0,0.0,-3,-5.6,47103,1.8,0,0.0,0,0.0,68,7.3,3536,7.3
"01027","2","10","71","0","2015","A","",9,53,2173887,0,0,794,41276,"",5.91,0.42,0.51,0.00,0.00,1.23,1.23,"",1,12.5,4,8.2,326956,17.7,0,0.0,0,0.0,73,10.1,3775,10.1
"01027","3","10","71","0","2015","A","",20,831,25279809,616344,8772,585,30427,"",5.38,2.18,2.31,1.58,2.79,1.06,1.06,"",-1,-4.8,8,1.0,868842,3.6,6507,1.1,484,5.8,14,2.5,754,2.5
"01027","5","10","71","0","2015","A","",175,2907,92429073,27281232,566705,612,31799,"",0.86,0.89,0.89,1.00,0.99,1.00,1.00,"",-2,-1.1,97,3.5,7252244,8.5,1488287,5.8,-67948,-10.7,29,5.0,1490,4.9
"01029","0","10","70","0","2015","A","",205,2186,94111133,15951563,443501,828,43050,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-178,-7.5,142034,0.2,-54904,-0.3,-150784,-25.4,64,8.4,3306,8.3
"01029","1","10","71","0","2015","A","",6,42,2293977,0,0,1048,54510,"",4.58,0.97,0.84,0.00,0.00,0.86,0.86,"",0,0.0,0,0.0,158096,7.4,0,0.0,0,0.0,80,8.3,4155,8.3
"01029","2","10","71","0","2015","A","",10,117,3469824,0,0,570,29636,"",6.73,1.63,1.07,0.00,0.00,0.65,0.65,"",0,0.0,-2,-1.7,-224491,-6.1,0,0.0,0,0.0,-26,-4.4,-1344,-4.3
"01029","3","10","71","0","2015","A","",33,603,21274580,1305309,16277,678,35262,"",9.09,2.78,2.53,5.85,6.71,0.91,0.91,"",1,3.1,-10,-1.6,96913,0.5,166484,14.6,-4942,-23.3,14,2.1,710,2.1
"01029","5","10","71","0","2015","A","",156,1424,67072752,14646254,427224,906,47115,"",0.79,0.77,0.84,0.94,0.97,1.10,1.10,"",-1,-0.6,-166,-10.4,111516,0.2,-221388,-1.5,-145842,-25.4,96,11.9,4994,11.9
"01031","0","10","70","0","2015","A","",1050,15210,496093021,118779565,2405503,627,32616,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",20,1.9,429,2.9,24613222,5.2,3514131,3.0,85847,3.7,14,2.3,718,2.3
"01031","1","10","71","0","2015","A","",16,229,12906554,0,0,1086,56484,"",2.39,0.76,0.89,0.00,0.00,1.18,1.18,"",0,0.0,21,10.1,731793,6.0,0,0.0,0,0.0,-41,-3.6,-2095,-3.6
"01031","2","10","71","0","2015","A","",20,410,15671244,0,0,736,38254,"",2.63,0.82,0.91,0.00,0.00,1.11,1.11,"",2,11.1,-12,-2.8,270301,1.8,0,0.0,0,0.0,33,4.7,1716,4.7
"01031","3","10","71","0","2015","A","",42,1842,66475856,1935468,17226,694,36097,"",2.26,1.22,1.50,1.17,1.31,1.23,1.23,"",-1,-2.3,-11,-0.6,1079564,1.7,38922,2.1,-5301,-23.5,15,2.2,806,2.3
"01031","5","10","71","0","2015","A","",972,12730,401039367,116844097,2388277,606,31503,"",0.96,0.99,0.95,1.00,1.00,0.97,0.97,"",19,2.0,432,3.5,22531564,6.0,3475209,3.1,91148,4.0,14,2.4,726,2.4
"01033","0","10","70","0","2015","A","",1292,23680,990028961,179984482,3972851,804,41809,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-0.3,552,2.4,38007548,4.0,6278919,3.6,64401,1.6,12,1.5,645,1.6
"01033","1","10","71","0","2015","A","",14,683,67573743,0,0,1903,98961,"",1.70,1.46,2.35,0.00,0.00,1.61,1.61,"",1,7.7,-110,-13.9,-11681091,-14.7,0,0.0,0,0.0,-20,-1.0,-1045,-1.0
"01033","2","10","71","0","2015","A","",19,664,24495378,0,0,710,36918,"",2.03,0.86,0.72,0.00,0.00,0.84,0.84,"",0,0.0,-23,-3.3,-2013106,-7.6,0,0.0,0,0.0,-33,-4.4,-1696,-4.4
"01033","3","10","71","0","2015","A","",46,3308,124629679,1420120,23852,724,37672,"",2.01,1.41,1.41,0.56,1.10,1.00,1.00,"",-4,-8.0,-66,-2.0,-2572632,-2.0,-524768,-27.0,-3168,-11.7,-1,-0.1,-28,-0.1
"01033","5","10","71","0","2015","A","",1212,19025,773330161,178564362,3948999,782,40647,"",0.97,0.95,0.92,1.01,1.00,0.97,0.97,"",-2,-0.2,751,4.1,54274377,7.5,6803687,4.0,67569,1.7,25,3.3,1299,3.3
"01035","0","10","70","0","2015","A","",253,3531,118809466,26454542,577628,647,33649,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,1.2,69,2.0,2966851,2.6,1070243,4.2,-31881,-5.2,4,0.6,188,0.6
"01035","1","10","71","0","2015","A","",4,29,1248632,0,0,816,42446,"",2.48,0.42,0.36,0.00,0.00,0.86,0.86,"",0,0.0,2,7.4,143775,13.0,0,0.0,0,0.0,41,5.3,2147,5.3
"01035","2","10","71","0","2015","A","",12,182,8753261,0,0,924,48051,"",6.55,1.57,2.13,0.00,0.00,1.35,1.35,"",0,0.0,-24,-11.7,-1255315,-12.5,0,0.0,0,0.0,-9,-1.0,-475,-1.0
"01035","3","10","71","0","2015","A","",20,497,16440395,110194,981,636,33074,"",4.46,1.42,1.55,0.30,0.31,1.09,1.09,"",1,5.3,3,0.6,4018,0.0,-1744,-1.6,-14,-1.4,-4,-0.6,-220,-0.7
"01035","5","10","71","0","2015","A","",218,2822,92367178,26344348,576647,629,32729,"",0.89,0.94,0.92,1.02,1.00,0.97,0.97,"",4,1.9,87,3.2,4074373,4.6,1071987,4.2,-31867,-5.2,8,1.3,443,1.4
"01037","0","10","70","0","2015","A","",117,1291,46116739,9020310,211636,687,35715,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.8,5,0.4,576605,1.3,-192385,-2.1,-22908,-9.8,6,0.9,296,0.8
"01037","1","10","71","0","2015","A","",5,19,759885,0,0,769,39994,"",6.69,0.74,0.57,0.00,0.00,0.76,0.76,"",0,0.0,0,0.0,61605,8.8,0,0.0,0,0.0,46,6.4,2418,6.4
"01037","2","10","71","0","2015","A","N",7,0,0,0,0,0,0,"N",8.26,0,0,0,0,0,0,"N",-1,-12.5,0,0,0,0,0,0,0,0,0,0,0,0
"01037","3","10","71","0","2015","A","N",16,0,0,0,0,0,0,"N",7.72,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01037","5","10","71","0","2015","A","",89,931,35388254,8937784,210902,731,38021,"",0.79,0.85,0.91,1.01,1.00,1.07,1.07,"",0,0.0,11,1.2,722340,2.1,-189181,-2.1,-22879,-9.8,6,0.8,334,0.9
"01039","0","10","70","0","2015","A","",898,12215,407498396,91062715,2379695,642,33360,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-0.4,-187,-1.5,-4111749,-1.0,-1802958,-1.9,-408595,-14.7,4,0.6,172,0.5
"01039","1","10","71","0","2015","A","",12,113,6266956,0,0,1066,55419,"",2.09,0.47,0.53,0.00,0.00,1.13,1.13,"",-1,-7.7,-2,-1.7,351966,6.0,0,0.0,0,0.0,73,7.4,3797,7.4
"01039","2","10","71","0","2015","A","",15,363,15383870,0,0,814,42341,"",2.31,0.91,1.09,0.00,0.00,1.20,1.20,"",-7,-31.8,28,8.4,780799,5.3,0,0.0,0,0.0,-23,-2.7,-1196,-2.7
"01039","3","10","71","0","2015","A","",49,1601,51480028,321373,6379,618,32158,"",3.08,1.32,1.41,0.25,0.49,1.07,1.07,"",0,0.0,14,0.9,587711,1.2,66729,26.2,461,7.8,1,0.2,90,0.3
"01039","5","10","71","0","2015","A","",822,10138,334367542,90741342,2373316,634,32981,"",0.94,0.98,0.97,1.02,1.00,0.99,0.99,"",4,0.5,-227,-2.2,-5832225,-1.7,-1869687,-2.0,-409056,-14.7,3,0.5,160,0.5
"01041","0","10","70","0","2015","A","",255,3770,133306043,30878575,829644,680,35364,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,2.0,67,1.8,5410829,4.2,-101163,-0.3,-159602,-16.1,16,2.4,822,2.4
"01041","1","10","71","0","2015","A","",9,37,1498532,0,0,777,40410,"",5.53,0.50,0.39,0.00,0.00,0.78,0.78,"",0,0.0,2,5.7,108289,7.8,0,0.0,0,0.0,2,0.3,113,0.3
"01041","2","10","71","0","2015","A","",11,48,2031489,0,0,820,42619,"",5.95,0.39,0.44,0.00,0.00,1.14,1.14,"",1,10.0,6,14.3,218267,12.0,0,0.0,0,0.0,-19,-2.3,-986,-2.3
